Index,Date,Sentiment
257,2018-09-13 9:00,2.4
258,2018-09-14 9:00,2
259,2018-09-16 9:00,3
260,2018-09-17 9:00,3.090909091
261,2018-09-18 9:00,2.785714286
262,2018-09-19 9:00,2.769230769
263,2018-09-20 9:00,3.1875
264,2018-09-21 9:00,3
265,2018-09-22 9:00,2
266,2018-09-23 9:00,2.571428571
267,2018-09-24 9:00,2.833333333
268,2018-09-25 9:00,3.222222222
269,2018-09-26 9:00,2.666666667
270,2018-09-27 9:00,4
271,2018-09-28 9:00,2.76863313
272,2018-09-29 9:00,2.3
273,2018-10-01 9:00,2.8
274,2018-10-02 9:00,2
275,2018-10-03 9:00,3.25
276,2018-10-04 9:00,2.545454545
277,2018-10-05 9:00,2.76863313
278,2018-10-07 9:00,1.777777778
279,2018-10-08 9:00,3.1
280,2018-10-09 9:00,2.5
281,2018-10-10 9:00,2.769230769
282,2018-10-11 9:00,2.4
283,2018-10-12 9:00,2.76863313
284,2018-10-13 9:00,5
285,2018-10-14 9:00,2.80952381
286,2018-10-15 9:00,2.285714286
287,2018-10-16 9:00,3
288,2018-10-17 9:00,2.4
289,2018-10-18 9:00,3.375
290,2018-10-19 9:00,2.76863313
291,2018-10-20 9:00,1.75
292,2018-10-22 9:00,4.1
293,2018-10-23 9:00,3.466666667
294,2018-10-24 9:00,1.571428571
295,2018-10-25 9:00,3.625
296,2018-10-26 9:00,2.76863313
297,2018-10-27 9:00,5
298,2018-10-28 9:00,1.928571429
299,2018-10-29 9:00,2.8
300,2018-10-30 9:00,2.933333333
301,2018-10-31 9:00,3
302,2018-11-01 9:00,2.8
303,2018-11-02 9:00,1
304,2018-11-03 9:00,2.76863313
305,2018-11-04 9:00,2.625
306,2018-11-05 9:00,2.285714286
307,2018-11-06 9:00,2.5
308,2018-11-07 9:00,3.6
309,2018-11-08 9:00,2.846153846
310,2018-11-09 9:00,2.555555556
311,2018-11-12 9:00,3.454545455
312,2018-11-13 9:00,2.21875
313,2018-11-14 9:00,2.52
314,2018-11-15 9:00,3.166666667
315,2018-11-16 9:00,2.76863313
316,2018-11-17 9:00,1
317,2018-11-18 9:00,2
318,2018-11-19 9:00,2.6
319,2018-11-20 9:00,3.35
320,2018-11-21 9:00,2.130434783
321,2018-11-22 9:00,1.916666667
322,2018-11-23 9:00,2
323,2018-11-24 9:00,2.375
324,2018-11-25 9:00,2
325,2018-11-26 9:00,3.115384615
326,2018-11-27 9:00,2.48
327,2018-11-28 9:00,2.909090909
328,2018-11-29 9:00,2.666666667
329,2018-11-30 9:00,4.5
330,2018-12-01 9:00,4
331,2018-12-02 9:00,2.956521739
332,2018-12-03 9:00,2.625
333,2018-12-04 9:00,3
334,2018-12-05 9:00,2.230769231
335,2018-12-06 9:00,2.363636364
336,2018-12-07 9:00,3.666666667
337,2018-12-08 9:00,3.25
338,2018-12-09 9:00,1.875
339,2018-12-10 9:00,2.25
340,2018-12-11 9:00,2.8
341,2018-12-12 9:00,3.222222222
342,2018-12-13 9:00,2.769230769
343,2018-12-14 9:00,2.666666667
344,2018-12-15 9:00,5
345,2018-12-16 9:00,2.625
346,2018-12-17 9:00,3.6
347,2018-12-18 9:00,2.384615385
348,2018-12-19 9:00,3.416666667
349,2018-12-20 9:00,2.818181818
350,2018-12-21 9:00,3.25
351,2018-12-22 9:00,3
352,2018-12-23 9:00,2.5625
353,2018-12-24 9:00,1
354,2018-12-25 9:00,2
355,2018-12-26 9:00,2.7
356,2018-12-27 9:00,3.076923077
357,2018-12-28 9:00,2.76863313
358,2018-12-30 9:00,5
359,2018-12-31 9:00,3
